2020-01-06 | 03:33:54 |  169 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 04:16:48 |  734 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:48 |  763 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:48 |  795 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:48 |  832 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:16:48 |  865 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:19:47 |  174 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:21:10 |   50 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:21:10 |   79 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:21:10 |  111 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:21:10 |  145 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 04:21:10 |  179 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | aquireCharacter | null
2020-01-06 | 19:16:27 |  611 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 19:16:38 |  799 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet Sixteen
2020-01-06 | 19:53:28 |  872 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 19:53:28 |  921 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 19:53:28 |  953 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 19:53:29 |   12 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 19:53:29 |   70 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 19:53:29 |  112 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 19:56:05 |  298 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:00:25 |  960 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:00:36 |  816 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:00:36 |  847 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:00:36 |  883 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:00:36 |  935 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:02:31 |  426 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 20:02:36 |  929 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet LayerNumbers
2020-01-06 | 20:02:56 |  872 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:02:56 |  925 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:02:56 |  960 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:02:56 |  994 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:02:57 |   32 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:02:57 |   92 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:04:44 |  579 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:06:20 |  154 | SEVERE | org.RSSoft.CharMaker.core.HeaderWriter | declareCharacter | null
2020-01-06 | 20:10:28 |  323 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 20:10:33 |  290 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet LayerNumbers
2020-01-06 | 20:24:39 |  624 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 20:24:46 |  409 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet LayerNumbers2
2020-01-06 | 20:26:47 |  411 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet font
2020-01-06 | 20:33:19 |  199 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: , height: 8, width: 8
2020-01-06 | 20:33:25 |  568 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet LayerNumbers2
2020-01-06 | 20:34:22 |  822 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet font
2020-01-06 | 21:42:03 |  738 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | <init> | new Character set: LedStatus2, height: 32, width: 32
2020-01-06 | 21:42:03 |  740 | INFO | org.RSSoft.CharMaker.control.ControlCharacterSet | setCurrentCharacterSet | set a new CharacterSet LedStatus2
2020-01-06 | 21:42:15 |  817 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: a
2020-01-06 | 21:54:47 |  190 | INFO | org.RSSoft.CharMaker.core.character.CharacterSet | addCharacter | new Character: b
